subject,verb,obj
care nurses ',learn,C000657245 35292497|t|What
assistants experiences of the COVID-19 pandemic,learn,C000657245 35292497|t|What
care nurses ',learn,general practice
assistants experiences of,learn,general practice
care nurses ',explore,This study
assistants experiences,explore,This study
perceptions,explore,This study
care nurses ',explore,This study
assistants experiences,explore,This study
perceptions,explore,This study
it,make,the changes
care nurses ',learn,35292497|t|What
assistants experiences of the COVID-19 pandemic,learn,35292497|t|What
care nurses ',learn,general practice
assistants experiences of,learn,general practice
dramatic changes,describe,Difficult changes
35292497 1334 Disease MESH : D001007,describe,Difficult changes
general practice,make,dramatic changes
the onset of,make,dramatic changes
severe acute respiratory coronavirus,trigger,China
late November 2019,trigger,China
us,lead,The pandemic
35293290 398 Disease MESH : D003920 :,lead,The pandemic
enormous loss of lives,lead,The pandemic
the older population,lead,The pandemic
"comorbidities like diabetes , disease",possess,the older population
treatment for breast cancer,follow,C000657245 - results from a study
treatment for breast cancer,follow,Risk of heart disease
treatment for breast cancer,follow,D001943 - results from a study
"the time- incidence of arrhythmia , failure",determine,This study
the time- incidence of,determine,This study
breast cancer,diagnose,women
treatment for breast cancer,follow,D001943 35293856|t|Risk of heart disease
treatment for breast cancer,follow,9606 35293856|t|Risk of heart disease
the first year after diagnosis,increase,The risk for ischemic heart disease
treatment for breast cancer,follow,D003324 35293856|t|Risk of heart disease
risk of ischemic heart disease,associate,"Aromatase inhibitors ,"
risk of,associate,tamoxifen
treatment for breast cancer,follow,D003324 35293856|t|Risk of heart disease
treatment for breast cancer,follow,D006331 35293856|t|Risk of heart disease
risks of heart disease,associate,Administration of systemic adjuvant therapies
patient management,involve,HWs
delivery of care,involve,HWs
COVID-19,relate,qualitative study with HWs
general practice,relate,qualitative study with
CoV-2 seroprevalence in from,determine,We
35294550 	 Species,determine,We
the first year of the coronavirus disease of,determine,We
four weeks,persist,symptoms
the condition,define,COVID-19
severe disease,occur,Sequelae
severe disease,occur,""" specific sequelae of"
severe disease,occur,symptoms
severe acute disease,persist,While pulmonary sequelae
weeks after infection,develop,COVID-19 sequelae
35294563 Disease MESH : C000657245,develop,COVID-19 sequelae
infected cells,reveal,D007239 35294603|t|Ultrastructural examination of from a series of fatal COVID-19 cases
an inappropriate immune response .. MESH D055370 diseases,!associate,the damage
35294747 Disease MESH :,!associate,the damage
virus presence,!associate,the damage
structural impairment,!associate,the damage
alternative mechanisms,propagate,the lung damage in these patients
a novel coronavirus ( CoV-2 ),cause,a disease
a pandemic,turn,which overwhelmingly demonstrates is
mortality rates,associate,Chronic kidney disease
mortality rates,associate,development
PIIGS,exclude,the short - term
similar pairwise correlation,show,all banks
the medium term,hold,the pattern
clear evidence for affection of the peripheral nervous system,!be,there
35295965 Disease MESH : C000657245,be,there
a density at the lower leg,reveal,punch biopsy
a case of,describe,we
COVID-19 disease,describe,we
Exercise Tai Chi,improve,35296042|t|A Call
Recovery From,improve,35296042|t|A Call
Recovery From,improve,35296042|t|A Call
the relaxation response,elicit,practicing Chi
"respiration , rate",regulate,the autonomic nervous system
Exercise Tai Chi,improve,35296042|t|A Call
Recovery From,improve,35296042|t|A Call
Recovery From,improve,35296042|t|A Call
lung capacity,increase,Tai Chi
an overt autoimmune disease,develop,Three patients
their surgery,have,who
the COVID-19 pandemic,postpone,35296355|t|Psychological distress among elderly surgical patients
elective lists,withhold,Many institutions
35296355 212 236 coronavirus disease MESH : C000657245 : C000657245,withhold,Many institutions
the peak of coronavirus disease 2019,withhold,Many institutions
triaged surgeries,withhold,Many institutions
their surgery,have,who
the COVID-19 pandemic,postpone,35296355|t|Psychological distress among elderly surgical patients
their surgery,have,who
the COVID-19 pandemic,postpone,35296355 9606 35296355|t|Psychological distress among elderly surgical patients
careful consideration,take,The mental health burden of older surgical patients
our healthcare system,postpone,cases
the demands of inpatients with,balance,35296355 Species 35296579|t|An innovative wing model for
a hospital for in,balance,35296355 Species 35296579|t|An innovative wing model for
the demands of inpatients with,balance,An innovative wing model for . MESH : MESH : model
a hospital for in,balance,An innovative wing model for . MESH : MESH : model
the demands of inpatients with,balance,35296579|t|An innovative wing model for .
a hospital for in,balance,35296579|t|An innovative wing model for .
stool banks,prepare,35298308 114 138 coronavirus disease MESH : MESH : 35298520|t|How
an appropriate response to the ongoing COVID-19 pandemic,prepare,35298308 114 138 coronavirus disease MESH : MESH : 35298520|t|How
35298520 480 coronavirus disease MESH : C000657245,force,many stool banks
COVID-19 infection in healthcare workers,follow,35298664|t|[Persistent fatigue symptoms
a survey on in sequelae,contact,4315 insured members of in
COVID-19 infection in healthcare workers,follow,35298664|t|[Persistent fatigue symptoms
COVID-19 infection in healthcare workers,follow,35298664|t|[Persistent fatigue symptoms
fatigue screening,use,The general fatigue scale of
35298832 937 patients Species 	 Model,assess,Different therapeutic solutions
the negative impact of the disease on patients,minimize,which
35298832 1764 1774 remdesivir MESH : Species C000657245,show,The model
supplemental oxygen therapy,require,treatment in
a significant reduction in both the number of ICU admissions,generate,the introduction of treatment in
more than $ 23 million in cost savings,produce,which
261 ICUs admissions,avoid,ICU admissions
166 deaths,avoid,ICU admissions
"Rt values ,",center,the model
the entire country,!generalize,which
35298894|t|Acute COVID-19 severity,consider,the results of this research
"a "" hypothetical study "" ..",consider,the results of
morbidity trajectories,consider,the results of
COVID-19,diagnose,individuals
the general population,diagnose,individuals
infection severity,diagnose,individuals
diagnosis,diagnose,individuals
extended time bedridden,indicate,Severe COVID-19 illness
term mental morbidity among,associate,Severe COVID-19 illness
individuals in the general population,recover,term mental morbidity among
vigilance of adverse mental health development among patients with a severe disease phase of,call,These findings
certain assumptions,represent,Epidemiological modeling
the spread of a disease within a population,represent,Epidemiological modeling
"widespread death , illness",include,"dire consequences ,"
COVID-19 pandemic,include,catastrophic disease outbreaks
COVID-19 pandemic,include,catastrophic disease outbreaks
COVID-19 pandemic,include,catastrophic disease outbreaks
the time of catastrophic events,become,The problem
disease pandemics,include,catastrophic events
COVID-19 pandemic,include,catastrophic disease outbreaks
solid evidence on the magnitude of domestic violence of any forms,provide,This systematic review
35300736 1381 1401 Disease MESH :,provide,This systematic review
catastrophic disease outbreaks,provide,This systematic review
the current pandemic COVID-19,include,catastrophic disease outbreaks
Disease MESH : C000657245 : Net,show,COVID-19 pandemic
scientific understanding of a new diseases threat to global health security,delineate,available adequate funding for into ' skies research '
rapid development,lead,making
"rollout of new diagnostic platforms , treatments",lead,making
the globe,spread,The coronavirus disease 2019 ( COVID-19 )
spread of the disease,mitigate,"preventive measures , as ,"
mandate effect on psychological well - being over a week period,understand,effects models
35302260 424 432 Disease MESH : C000657245 :,look,we
D007239 prophylactic effect of in post - COVID-19 therapy,look,we
current knowledge about possible term complications of COVID-19 disease,look,we
complications in humans,alleviate,"flavonoids ,"
complications in,eliminate,"flavonoids ,"
complications in,eliminate,"flavonoids ,"
the COVID-19 infection,overcome,"flavonoids ,"
an important role in prevention of many diseases,play,flavonoids
anticoagulation levels in stable term warfarin treatment,!influence,CoV-2 vaccination
findings,compromise,which overwhelmingly demonstrates is
the 3 months before vaccination,compromise,which overwhelmingly demonstrates is
frequent viewing of Tourette syndrome ( videos,report,These patients
data from a coronavirus disease 2019 ( COVID-19 ),combine,We
35303939 711 coronavirus disease MESH : C000657245 : C000657245,combine,We
35303966|t|A nationwide cross - sectional study of during,combine,We
investigation in a LTCF ward,outbreak,Impact of .
transmission dynamics,infer,Impact of .
acquisition routes,infer,Impact of .
strain relatedness,evaluate,Impact of .
a likelihood phylogenetic tree,use,Impact of .
people work,change,The COVID-19 disease
income,change,The COVID-19 disease
depressive symptom scores,compare,We
those before,compare,We
35305381 1781 Disease MESH : D000275 .,suggest,these results
population,sit,the potential health benefits of
time,sit,the potential health benefits of
Australia,sit,the potential health benefits of
time,sit,the potential health benefits of
Australia,sit,the potential health benefits of
35305678 239 Disease MESH : D002908,indicate,Strong evidence
multiple chronic diseases,associate,excessive time
the potential health benefits of,35305678|t|modelle,D002908
""
""
population,sit,the potential health benefits of
time,sit,the potential health benefits of
Australia,sit,the potential health benefits of
time,sit,the potential health benefits of
Australia,sit,the potential health benefits of
the 2019 Australian population ( age ),simulate,This model
"sedentary behaviour ( type 2 diabetes , stroke cancer",associate,five diseases
population,sit,the potential health benefits of
time,sit,the potential health benefits of
Australia,sit,the potential health benefits of
time,sit,the potential health benefits of
Australia,sit,the potential health benefits of
the potential change in as time,estimate,Scenario analyses
Italy excess mortality,associate,35305852|t|Health variables
the first wave of the COVID-19,associate,35305852|t|Health variables
excess mortality ( p < 0.05 ),correlate,the cardiovascular mortality rate
lower excess mortality ( p < 0.05 ),associate,higher densities of licensed physicians
the Origins of,discuss,The hospitalization rate in term care wards
attention,bring,The outbreak of
35305972 121 Disease MESH : Outbreaks :,bring,The outbreak of
past narratives of disease outbreaks,bring,The outbreak of
experts ( scientists ),rely,The general public
35305972 1160 peoples Species 	 challenges,use,modern outbreak narratives
language,use,modern outbreak narratives
peoples,result,which
cultures,result,which
"key economic obstacles in ,",discuss,We
35306118 460 479 infectious diseases MESH :,discuss,We
novel antibiotics,discuss,We
the poor,affect,which overwhelmingly demonstrates is
Aplocheilus panchax along Mahanadi industrial belt of,spot,D003141 35306623|t|Changes in
lockdowns,spot,D003141 35306623|t|Changes in
Aplocheilus panchax along Mahanadi industrial belt of,spot,35306623 52581 35306623|t|Changes in
lockdowns,spot,35306623 52581 35306623|t|Changes in
post - COVID-19 periods,suggest,a stringent environmental audit
such habitats,last,the status
our worries,exaggerate,we
coronavirus disease 2019 ( COVID-19,follow,Protective term immunity
our worries,exaggerate,we
"cases with COVID-19 time PCR positivity ,",diagnose,Reinfection
the first infection / disease,diagnose,Reinfection
the efficacy of in the treatment of coronavirus disease 2019 ( COVID-19 ),evaluate,we
"concerns of in , among other diseases",raise,The limited use of due
an frequency,identify,We
35308015 2742 children Species 	 35308999|t|Axes :,identify,We
children with,identify,We
Subtypes of,identify,We
severity,identify,We
our concerns,justify,our findings
the diagnosis of other diseases,relate,our concerns
the pandemic,relate,our concerns
heterogeneous subtypes of COVID-19 outcomes,identify,we
subtypes of ' long COVID ',explore,our method
35309055 96 Disease MESH : 35309055|t|Is,emerge,a Role for on ? disease
a serious pandemic,emerge,a Role for on ? disease
35309055 96 Disease MESH : 35309055|t|Is,emerge,Coronavirus disease ( COVID-19 )
a serious pandemic,emerge,Coronavirus disease ( COVID-19 )
ACE2,express,The reproductive system
35309055 1110 Gene 35309055 1128 1136 284;285;51378;27329 35309303|t|Persistence of,express,The reproductive system
Doses BNT162b2 in,express,The reproductive system
systemic circulation,generate,which
systemic circulation,derive,which
systemic circulation,derive,precursors
high efficacy against CoV-2 infection,show,The vaccine BNT162b2 of
a severe course of the COVID-19 disease,show,The vaccine BNT162b2 of
their effectiveness against severe disease,show,Clinical trials
their effectiveness against,show,world evidence on COVID-19 vaccines
the pandemic times for,become,they
Natural Infection,sustain,35310397|t|Neutralizing Antibodies
Rapid Reviews,use,Improvement
35310524|t|Risk of review,serve,They
rapid means for regular policy updates,serve,They
dementia in income countries,serve,They
Petersen criteria ( studies ),use,studies
a rate to Alzheimer disease ( AD ) of,find,A meta - analysis of studies
MESH 35310524|t|Risk of to : review,find,A meta - analysis of
35310524 1577 Disease MESH : MESH development,include,Risk factors for conversion from to dementia
"a brief overview of the disease consequences , diseases",provide,This article
kidney function,impair,infections with
medical care,!consider,The holistic care of patients with chronic kidney disease
psychological aspects,consider,The holistic care of
aggressive disease,decrease,4/6 inhibitor treatment
evidence have any pathological effects on spermatogenesis,!be,there
assessment findings in occupational divers,dive,35313371|t|Post COVID-19 fitness
long term effects,have,COVID-19
clinical severity of disease,!correlate,which overwhelmingly demonstrates is
assessment findings in occupational divers,dive,C000657245 COVID-19 fitness
changes,investigate,We
disqualification from diving among divers,cause,which overwhelmingly demonstrates is
the disease,recover,who
a state of health emergency,create,Rapid spread of in several countries of the world
close proximity to patient face,work,they
long period of time,work,they
dentists,categorize,Occupational Safety Administration
procedures,perform,dentists
""" high exposure risk",perform,dentists
procedures,!perform,the dentists
""" high exposure risk",!perform,the dentists
generation of aerosols,involve,Most of the restorative treatment procedures
the disease,transmit,these procedures
clinician patients,transmit,these procedures
90 %,show,available vaccines
35313532 325 Disease MESH :,show,available vaccines
D003643 protects against lethal challenge,show,available vaccines
better rates of protection against severe disease,show,available vaccines
COVID-19 LAV,develop,We
the feasibility,demonstrate,our results
these double deficient rSARS - CoV-2,implement,the feasibility
"safe , stable LAV",implement,the feasibility
the prevention of CoV-2 infection,implement,the feasibility
nanobodies,design,A acid FFY
nanobodies,accelerate,A acid FFY
PERx reaction rate,design,A acid FFY
PERx reaction rate,accelerate,A acid FFY
a conceptual framework,inform,Findings
the integration of two spheres of : supports,illustrate,which overwhelmingly demonstrates is
", reach",characterize,"crisis supports ,"
a term approach,characterize,"crisis supports ,"
general objectives,characterize,"crisis supports ,"
"settlement supports ,",characterize,"crisis supports ,"
"their term approach , relations , as language supports",characterize,"settlement supports ,"
CoV-2 pneumonia,hospitalise,patients
acute symptoms,present,which overwhelmingly demonstrates is
clinicians,choose,Various strategies
their immunomodulatory properties,know,Mesenchymal cells
regeneration ability,know,Mesenchymal cells
disorders,treat,a promising tool for
immune dysregulation,involve,disorders
extensive tissue damage,involve,disorders
35314178 1722 1725 35314722|t|Combinatorial influence of on CoV-2 infectivity,expose,dubia neonates
the PS - MP,expose,dubia neonates
various biological parameters ( e.g. ) of along,depend,The degree of virus infectivity
various biological parameters ( e.g. ) of along,depend,its clinical outcomes
inflammatory lung diseases,target,D009765 therapeutics for
inflammatory lung diseases,target,therapeutics for . MESH
inflammatory lung diseases,target,D008171 therapeutics for
diseases ( asthma,treat,drugs
an important role in,play,The physiochemical properties of drugs
the effectiveness of formulations,determine,an important role in
inflammatory lung diseases,target,MESH MESH therapeutics for .
Disease MESH : therapeutics,focus,This review
current trends,focus,This review
development,focus,This review
inflammatory lung diseases,target,D008171 therapeutics for
the current challenges of,include,this review
35315290 830 Disease MESH :,include,this review
A descriptive analysis,include,this review
future perspective with regard to in the treatment of inflammatory lung diseases,include,this review
patients versus study population,recover,D008171 35315407|t|Common Indications for to the Healthcare system for
the common indications for the referral to in comparison with the Biobank general population study,describe,we
patients versus study population,recover,35315407 485 Disease MESH :
A descriptive analysis,recover,35315407 485 Disease MESH :
patients versus,recover,C000657245 participants Species 	 Indications to the Healthcare system for
A descriptive analysis,recover,C000657245 participants Species 	 Indications to
referral for medical follow up,require,participants
recovery for any abnormal significant findings,require,participants
general population,record,Number of participants
general population,compare,Number of
the virus,!affect,Descriptive analysis of the referral data of the COVID-19 participants
a clear difference between populations reasons for referrals,show,Descriptive analysis of
patients versus study population,recover,35315407 1085 participants Species 	 osteopenia : MESH : MESH :
patients versus,recover,C000657245 1499 participants Species 	 Indications to the Healthcare system for
the common denominator of a type of science communication,configure,transparency
trust,generate,which overwhelmingly demonstrates is
its recipients,generate,which overwhelmingly demonstrates is
2020,!differ,"symptoms of depression , mania"
evidence of heterogeneity,be,there
the pandemic overall,!increase,mood symptoms
heterogeneity among our BD sample,observe,we
triboelectricity,base,a millifluidic device for differential detection of
COVID-19,!resolve,it
endemic were identified,consider,infectious diseases
COVID-19,!resolve,it
considerable mortality,cause,The coronavirus disease 2019 pandemic
morbidity,cause,The coronavirus disease 2019 pandemic
the biomedical community,engage,The coronavirus disease 2019 pandemic
attempts,engage,The coronavirus disease 2019 pandemic
the pathophysiology of,elucidate,attempts
robust therapeutic strategies,develop,attempts
"the coagulation cascade , kallikrein ,",include,These enzymes
kallikrein,include,These enzymes
"the complement system , as proteinases",include,These enzymes
these insights,extrapolate,we
35316977 1432 1440 Disease MESH : D005355 :,extrapolate,we
the pathogenesis of,participate,how fibrosis
the pathogenesis of,participate,profibrotic pathways
systemic disease,attribute,headache
current therapeutic strategies,attribute,headache
a manifestation,encounter,Headache
complication,encounter,Headache
severe radiographic changes,characterize,conditions
clinicopathological findings,characterize,conditions
exercise capacity,impair,factors
severe COVID-19 pulmonary infection,impair,factors
C000657245 35317815|t|Identification of : up,hospitalize,Patient
coronavirus disease 2019,hospitalize,Patient
capacity,sequelae,COVID-19 ) pulmonary infection
exercise capacity,impair,factors
severe COVID-19 pulmonary infection,impair,factors
35317815 1142 1155 Disease MESH :,!differ,"17.6 % , = ,"
35317883|t|The new humanitarian crisis in :,!differ,"17.6 % , = ,"
terms of initial disease severity,!differ,"17.6 % , = ,"
35317815 1142 1155 Disease MESH :,!differ,p = 0.006 )
35317883|t|The new humanitarian crisis in :,!differ,p = 0.006 )
terms of,!differ,p = 0.006 )
major health issues,describe,This letter
"concerns , as , campaigns impact",describe,This letter
the healthcare infrastructure,affect,communication campaigns
the old,affect,the first wave of pandemic
one time point,assess,psychological measures of optimism
inflammation,characterize,a chronic neurodegenerative disease
demyelination,characterize,a chronic neurodegenerative disease
cure,!be,there
recent years,increase,The treatment options for
the development of several therapies ( DMTs ),increase,The treatment options for
persistent symptoms,report,CONCLUSIONS :
a mild disease,report,CONCLUSIONS :
persistent symptoms,report,More than half of positive outpatients
a mild disease,report,More than half of
HIV,live,people
"Wuhan , China",live,people
pre - COVID-19 presence of heart disease,associate,Loss of physical function
both generic HRQoL. 1263 Disease MESH,correlate,Fatigue
both generic HRQoL. 1263 Disease MESH,correlate,functional status
both generic HRQoL. 1263 Disease MESH,correlate,D008171 35319451|t|Risk factors for after hospital admission with
an protective effect of pre - COVID-19 lung disease,find,we
the history of mankind,record,the oldest diseases
thousands of years,date,the oldest diseases
structural lung complications,lead,TB
"granuloma formation , fibrosis",include,structural lung complications
the disease course,know,less
an unbalanced inflammatory immune response,lead,Both pathogens
an risk of severity,suggest,a dysregulation of
the biomolecular effects of these contributors,explore,Our literature review
pathogenicity of both diseases,explore,Our literature review
TB,treat,the challenges in
the COVID-19 pandemic,treat,the challenges in
significant impact on,report,Background
infectious diseases,understand,They
patients,monitor,Telehealth
rheumatic diseases,monitor,Telehealth
initial studies,monitor,Telehealth
COVID-19,affect,Patients
Coronavirus disease 2019 ( COVID-19 ),affect,people
health,impact,Background
health,impact,sequelae
COVID-19,affect,Patients
worse lung function,associate,age
the incidence,affect,35322547|t|Factors
prevalence,affect,35322547|t|Factors
odds ratio,calculate,analysis
PU risk,estimate,incidence rate in
ICUs,generate,PU risk
the incidence,affect,35322547|t|Factors
prevalence,affect,35322547|t|Factors
the highest prevalence of with 234 cases in the sacrum,generate,A total of 1152 cases of
a national lockdown in with,be,there
a pandemic,qualify,a national lockdown in with
the World Health Organization ( WHO ),qualify,a national lockdown in with
COVID-19 disease,cause,The pandemic
implications on,have,The pandemic
routine care,deliver,we
patients,deliver,we
"its effect on patient care , aspects",deliver,we
the Immunomodulatory Potential of towards,35323300|t|investigate,D010146
""
""
immunomodulatory properties,possess,Mesenchymal stem cells ( MSCs )
capacity,possess,Mesenchymal stem cells ( MSCs )
ECM hydrogel,culture,MSCs
a basis for investigation of immunomodulation by,offer,The results from the study
35323978|t|Long COVID syndrome,offer,The results from
regenerative medicine,apply,which
a serious impact on people ability,have,PACS
35324652|t|The Impact of on : Study,have,PACS
work,return,people ability
a communicable disease,contain,The measures
a communicable disease,contain,The measures
an acceleration of the pre - existing pandemic of overweight,result,The measures
"further longitudinal observations of this "" non - communicable disease",!support,Health professionals
35324652 1695 Disease MESH : Activation activation ):,!support,Health professionals
depression,mitigate,( Behavioural activation
loneliness,mitigate,( Behavioural activation
depression,mitigate,( Behavioural activation
loneliness,mitigate,( Behavioural activation
35324908 1919 1924 BASIL Species 	 Species : impairments,undertake,A qualitative process evaluation
COVID-19,follow,C000657245 term cognitive impairments
a cross - sectional study,enrol,two patients with impairments
disease severity,base,two groups
COVID-19,follow,C000657245 term cognitive impairments
35325308 1697 1705 Disease MESH : C000657245 :,improve,These findings
the management of COVID-19 patients,improve,These findings
a function of for patients with hypoxia,improve,These findings
therapy,inhale,The mainstay of treatment for chronic obstructive pulmonary disease ( COPD )
the literature,report,discordance between world prescribing patterns
a key determinant of disease control,remain,"Non - pharmacological , factors , as ,"
COPD,remain,"Non - pharmacological , factors , as ,"
a result of the COVID-19 pandemic,emerge,new challenges in the management of
D029424
35325585 MESH : 35325624|t|Risks : study,evaluate,These
"the clinical consequences of , effectiveness",evaluate,These
the way,revolutionize,the potential for a new digital model
clinical trials in,conduct,we
the post - COVID setting,conduct,we
an risk burden,exhibit,people with
35325624 1697 people Species 	 9606 MESH : Species for,exhibit,people with
"an number of from , situation",affect,a devastating disease
pandemic,worsen,which overwhelmingly demonstrates is
the COVID-19,worsen,which overwhelmingly demonstrates is
pandemic,worsen,a situation
the COVID-19,worsen,a situation
an effect,produce,a long time
the generation of reactive oxygen species ( ROS ),contribute,neuroinflammation is
a complex pathogenesis,involve,Coronavirus disease 2019 ( COVID-19 )
deleterious impact of upon male reproductive health,indicate,Evidence
excessive reactive oxygen species generation,induce,' the ' cytokine storm '
two stage groups ( students,comprise,hundred respondents
COVID-19 Patients in,obtain,35326809|t|Genomic Characterization of .
all realms of public healthcare,affect,The coronavirus disease 2019 pandemic
clinically,!confirm,such infections
Multidisciplinary Rehabilitation,undergo,D007239
""
Impairment :
the possible association between cognitive impairment,investigate,We
35326958 356 376 Disease MESH : D003072,investigate,We
cognition,affect,premorbid diseases
alteration of blood pressure ( rhythm,show,Patients with
a severe illness ( p,experience,higher levels of
"frequent cognitive complaints ( p , scores",experience,higher levels of
Gene 	 23498 35326958 1522 1525 D003141 D001007,have,35326958 1480
1526 1540 longer Disease MESH,have,35326958 1480
a severe evolution of,experience,they
the pre - existent interstitial lung disease ( ILD ),experience,they
the administration of immunosuppressive treatments,experience,they
important burdens of around the world,represent,Sepsis
important burdens of around,represent,septic shock
the setting of novel coronavirus disease ( infection,report,"Cerebrovascular events , strokes ,"
the molecular mechanisms of the aforementioned mediators,target,potential neuroprotective therapies
35328506 35328506 1692 1700 Disease MESH : C000657245,inform,potential neuroprotective therapies
rehabilitation strategies,inform,potential neuroprotective therapies
3 months,last,the complete resolution of the inflammatory process
most reports,highlight,Contrasting outcomes on sleep health
the pandemic in the general population,highlight,Contrasting outcomes on
35329184 Disease MESH :,report,an impact of Trajectories
care workers,report,an impact of Trajectories
equation models,estimate,models
35329280 1006 people Species 	 MESH : 35329280|t|Accessibility to among throughout : Trajectories,find,We
difficulty in from,report,people
DMHSs,access,difficulty in from
COVID-19,observe,an overall increase in difficulty in accessing DMHSs
DMHS accessibility trajectories,exist,heterogeneity
cancer patients,affect,Coronavirus disease 19 ( COVID-19 )
the pandemic,attribute,Psychological limitations in
the underlying disease of pancreatic cancer,associate,physical limitations in
Disease MESH : Factors,show,Evidence
term consequences of the disease,experience,a substantial proportion of patients with
"risk of bias ,",assess,Two authors
generally moderate,judge,which
the degree of study heterogeneity,quantify,The I2 statistics tests
robust longitudinal studies,confirm,The role of as independent prognostic factors
longer up,confirm,The role of as
dementia risk,associate,"Advanced age , education"
dementia risk,associate,intractable epilepsy
the following period,occur,various complications
a time period between PCR positivity,be,there
frequent non - respiratory complications,be,there
35330108 1151 infectious diseases MESH,be,there
yourself,communicate,COUNSELING
God,communicate,COUNSELING
two ways,describe,the author
this coronavirus disease 2019 crisis,do,which overwhelmingly demonstrates is
severe respiratory syndrome coronavirus 2 ( transmission,attribute,a illness
"November 17 , 2019",emerge,"Coronavirus disease ( COVID-19 ) , illness ,"
our long institutional experience with telemedicine,describe,We
several general surgery clinics,describe,We
an academic care center,describe,We
further clinical evaluation of,support,these promising preclinical results
35332581 1498 1512 Chemical MESH : D011134 35332581 1513,support,these promising preclinical results
sex - differences in COVID-19 syndrome,assess,few studies
"the expression of several inflammatory genes , as interleukin 33 , gene",induce,CoV-2 infection of retinal organoids
Gene 35334824|t|Calcifediol Deficiency : Factor,induce,CoV-2 infection of
acute COVID-19,associate,a gene
retinal degeneration,associate,a gene
a role in certain neural cells as structure,play,the D endocrine system
evidence,!be,there
35334824 1434 1443 D MESH :,be,there
D014807 1594 1603 D MESH :,be,there
D014807 1633 Disease MESH : D019636 .,be,there
a beneficial effect of in neurodegenerative diseases,support,evidence
the spread of the virus,contain,"pandemic , global efforts"
contagion,avoid,"pandemic , global efforts"
the second CoronaVac vaccination range 68 days,detect,Breakthrough infection
the S gene sequence with the Xcl1 gene,fuse,We
35335039 535 Xcl1 Gene 	 35335039|t|Immunogenicity,fuse,We
powerful CoV-2 type virus,display,The fusion antibody
35335039 2697049 35335044|t|Determinants of in,display,The fusion antibody
vaccine receipt,include,"These guidelines ,"
the COVID-19,hit,Residents of term care facilities ( LTCFs )
a global scale as older age,hit,Residents of
the median IgG level,associate,the 2nd dose
all time points,associate,the 2nd dose
the symptomatic group of patients,observe,: ( i ) fever
COVID-19 infection throughout the entire period,observe,: ( i ) fever
the symptomatic group of,observe,higher IgG levels
COVID-19 infection throughout,observe,higher IgG levels
higher IgG levels in the asymptomatic group from,result,iii prior COVID-19 positivity
similar antibody levels,result,disease with without prior COVID-19 infection
smokers,observe,serum IgG levels
massive health disasters,cause,Coronavirus disease 2019 ( COVID-19 )
B cell responses,generate,this adjuvant vaccine
the inclusion criteria,meet,123 subjects
1800,meet,123 subjects
infection / COVID-19,diagnose,PLWH in at
the study period,diagnose,PLWH in at
high mortality,associate,the severity of the disease
severe COVID-19,develop,the likelihood of
similar risk factors,drive,the likelihood of
those,drive,the likelihood of
milder disease courses,characterize,the outpatient cohort
35336932 1015 1025 outpatient Species 	 Consequences,sustain,the antibody response
9 months,sustain,the antibody response
COVID-19 disease,suffer,the patients
the level of antibody production,affect,the disease course
participants as,consider,a feature
access to ventilators,receive,who
dependents,have,"prospect of ,"
guidelines,agree,The public
ventilators,allocate,which overwhelmingly demonstrates is
medical benefits,accord,guidelines
discrimination,avoid,which overwhelmingly demonstrates is
35338554 1439 1447 MESH : D007239 :,suggest,This
SARS - CoV-2,infect,SOT recipients
high risk,remain,SOT recipients
re,remain,SOT recipients
-,remain,SOT recipients
infection,remain,SOT recipients
kidney care,receive,people
a rapid change in,result,The coronavirus disease 2019 pandemic
reliance on digital technologies,result,The coronavirus disease 2019 pandemic
the introduction of remote services,result,The coronavirus disease 2019 pandemic
people,deliver,clinical care
kidney disease,live,people
kidney care,receive,people
multiple advantages,confer,Remote consultations
patients,confer,Remote consultations
an option to patients,offer,remote consultations
kidney disease,live,patients
the COVID-19 pandemic,live,patients
kidney care,receive,people
the impact of remote consultations on people,examine,Future research
35338610 1750 people Species 	 MESH :,examine,Future research
kidney disease,live,people
groups,live,people
barriers,identify,people
their suitability,ensure,people
the wider population,ensure,people
a approach to,ensure,people
accessibility,ensure,people
the high prevalence of in,confirm,Our systematic review
post - COVID-19 syndrome,investigate,Interviews
disease onset of in-,investigate,Interviews
outpatients with COVID-19,investigate,Interviews
Udine Hospital ( May ),attend,COVID-19
the case of,learn,C000657245 informal education responses to
GNSM provision of for the general public,increase,the pandemic
GNSM provision of for,diversify,the pandemic
"online platforms , as",increase,the pandemic
"online platforms , as",diversify,the pandemic
the groundwork for CoV-2 vaccines,lay,35340773|t|The setbacks of
more than a general spillover effect,have,R&D
"subscales of , as fatigue",identify,Subscale analysis
35341944 1849 Disease MESH :,identify,Subscale analysis
a option in children,remain,acute thrombolysis
"significant phenotypic medical entities ( e.g. ,",incorporate,Clinical text data
the clinical characteristics of patients in specific disease conditions,profile,"significant phenotypic medical entities ( e.g. ,"
annotations of in benchmark text dataset,rely,BioNER approaches
the generalization performance of,test,we
coronavirus disease 2019,include,"the development of ,"
pluripotent stem cell ( dataset,determine,This study
the synergistic effect of new coronavirus infection on atherosclerosis patients,determine,This study
COVID-19 infection atherosclerosis patients,analyze,dataset
the causes of COVID-19 infection,present,we
mortality in atherosclerosis patients,lead,COVID-19 infection
the susceptibility of to,lead,COVID-19 infection
