Subject,Verb,Object
two visits at months onset,conduct,We
asymptomatic mild severe disease,have,who
% COVID-19 convalescents,persist,NAb
6 months,persist,NAb
disease onset,persist,NAb
detectable antibody against,have,19/71 ( 26 % ) of )
1353 1361 Disease MESH : immunities,have,19/71 ( 26 % ) of )
m post - disease onset,have,19/71 ( 26 % ) of )
cell year sustained cellular immunities of COVID-19 convalescents,associate,antibody memory levels of the convalescents
their disease severity,associate,antibody memory levels of
the continuation of routine primary care,34611708|t|ensure,review of the international literature
the COVID-19 pandemic,34611708|t|ensure,review of
employment records,base,1 etiologic studies of chronic disease
potential regulations,evaluate,hypothetical interventions appropriate
workplace exposures,reduce,hypothetical interventions appropriate
advantage,take,It has been noted
work,take,It has been noted
a potential source of social stratification,take,It has been noted
a robotic system : deficit,assess,post - COVID syndrome patients
"vision , information",integrate,the subject
the protection of nurses,relate,political decisions
accountability for these areas,strengthen,"the improvement of , as"
various levels,strengthen,"the improvement of , as"
the association between sleep,34617358|t|understande,"the improvement of , as"
an innovative study,describe,This protocol
"the relationship between sleep , work",investigate,an innovative study
a difference,make,Gender
a significant interplay between cardiovascular disease ( CVD ),highlight,The ongoing COVID-19 pandemic
the constitutionality of its vaccination policies,advocate,the Italian government
a general effort,advocate,the Italian government
vaccine hesitancy,contrast,a general effort
healthy,consider,nutrient supplementation for the general population
Asia,perform,only studies
"a significant protective effect of zinc supplementation on RTIs ( RR ,",show,only studies
no,!have,Supplementation of in the general population
Virgen de las Nieves University Hospital in,admit,"Descriptive retrospective , longitudinal study of a cohort of patients under rehabilitation treatment"
March,admit,"Descriptive retrospective , longitudinal study of"
condition scales ( IFIS,use,"Descriptive retrospective , longitudinal study of"
"functional assessment : general ,",use,"Descriptive retrospective , longitudinal study of"
the impact of the coronavirus disease 2019 ( COVID-19,explore,This study
pandemic health restrictions on infarct severity,explore,This study
34632491 314 338 coronavirus disease MESH,explore,This study
"severe disruptions in care services ,",associate,The coronavirus disease ( pandemic
an impact on access to,have,nonpharmacological measures as social distancing
tests,screen,access to
1094 1102 Disease MESH : C000657245,find,we
"a significant reduction in , increase",associate,COVID-19
seven term research questions,propose,we
COVID-19,regard,seven term research questions
diseases ( EIDs ),regard,seven term research questions
effective integration of environmental social sciences,base,It has been noted
EIDs,anticipate,effective integration of
EIDs,mitigate,effective integration of
EIDs,mitigate,effective integration of
"the social ecology of infectious disease agents , evolution",cover,Research needs
34634622 779 797 infectious Disease MESH :,cover,Research needs
infectious disease emergence,accelerate,the human factors
the world,affect,Coronavirus disease ( pandemic
34637085 93 Disease MESH : C000657245,affect,Coronavirus disease ( pandemic
"diabetes , cardiovascular diseases",include,The risk factors for severe COVID-19
34637085 Disease MESH : C000657245,include,The risk factors for
chronic exposure to air pollution,worsen,the same disease
generalized universal trends,provide,The study
the screening questionnaire,receive,Untested participants
34637685 1650 participants Species 	 MESH : MESH C000657245,aim,the COVID-19 study
34643307 127 coronavirus disease MESH,impact,Children
the coronavirus disease 2019 pandemic,impact,Children
COVID-19,induce,Pathogenesis of
significant morbidity,cause,patients
mortality,cause,patients
the publication of interim guidelines,increase,34643927 63 syndrome coronavirus Species : Species : 34643927|t|Corticosteroids ?
the publication of,increase,Corticosteroid implementation
corticosteroid use in by,regard,interim guidelines
term side effects,regard,the controversies
progression capability of corticosteroids,regard,the controversies
dental health practitioners,offer,We
an opportunity,offer,We
the evidence of with the communities,share,an opportunity
cavities,decrease,water fluoridation
25 %,decrease,water fluoridation
the population level,decrease,water fluoridation
cavities,decrease,the prevalent chronic disease
25 %,decrease,the prevalent chronic disease
the population level,decrease,the prevalent chronic disease
the importance of disease prevention,reaffirm,COVID-19
a need for water fluoridation,be,There
MESH social isolation,be,There
equitable access to oral prevention interventions,offer,a need for
cause short- molecular changes in the rat,regroup,MESH social isolation
lncRNA NEAT1,activate,34652066 Disease MESH :
lncRNA NEAT1,activate,C000657245
""
34652536|t|Acetylation
lncRNA NEAT1,activate,Acetylation of
lncRNA NEAT1,activate,34652536 Chemical MESH : D008055 :
lncRNA NEAT1,activate,D065626 147 152 GRIA3 Gene 	 34652536|t|Acetylation
persistent symptoms,report,BACKGROUND
34653099 63 coronavirus disease MESH : MESH : C000657245,report,BACKGROUND
RESULTS,report,BACKGROUND
persistent symptoms,report,many individuals
34653099 63 coronavirus disease MESH : MESH : C000657245,report,many individuals
RESULTS,report,many individuals
4 weeks,last,persistent symptoms
post - COVID-19 syndrome,call,which
"27,929 articles",generate,The search
COVID-19 Syndrome,generate,The search
"the pathophysiology , pathogenesis",elucidate,Further research
post - COVID-19 syndrome,involve,term consequences
knowledge about effects impact of,generate,Further research
34654679|t|Effect of lockdown on cancer care amongst older patients,generate,Further research
the first wave of,generate,Further research
a dramatic impact on cancer diagnosis,have,The coronavirus disease 2019
a dramatic impact on,have,( COVID-19 pandemic
"a function of age , sex",!differ,The decrease in cancer
the syndromic surveillance system,augment,34655106|t|The potential roles of sales data
response to,augment,34655106|t|The potential roles of
the syndromic surveillance system,augment,The potential roles of sales data
response to,augment,The potential roles of
the syndromic surveillance system,augment,D003141 34655106|t|The potential roles of sales data
response to,augment,D003141 34655106|t|The potential roles of
a continuous threat from communicable disease outbreaks,face,Indonesia
the syndromic surveillance system,augment,34655106|t|The potential roles of sales data
response to,augment,34655106|t|The potential roles of
the syndromic surveillance system,augment,D003141 potential roles of sales data
response to,augment,D003141 potential roles of
the provision of early warnings of disease outbreaks,enable,which
high risk of post - Covid syndrome,relate,"The number of during , severity"
the term effects,evaluate,we
74 participants,compare,"the impact of lockdown on ,"
term night noise level 60 individuals,expose,74 participants
statins,treat,patients
antiplatelet agents,treat,patients
acute coronary syndromes,follow,statins
stable coronary disease,follow,statins
secondary prevention of major cardiovascular events ( infarction,achieve,dose colchicine
reduction 0.75,achieve,dose colchicine
most trials,use,the low doses
drug discontinuation,lead,which
"immunomodulatory drugs , inhibitors",treat,Multiple myeloma patients
disease progression,treat,Multiple myeloma patients
34657968 380 Disease MESH :,result,Continuous therapy in combination with the underlying disease
"severe humoral immunodeficiency ,",result,Continuous therapy in
recurrent infections,manifest,which
a great deal of in the financial impact on congregations,be,there
finances,manage,pastors
this period,manage,pastors
finances,manage,congregations
this period,manage,congregations
the financial impact of Implications,experience,"general , small congregations"
the financial impact of Implications,respond,"general , small congregations"
inequalities among social groups,result,It
deep learning models with statistical methods for time series forecasting,combine,34658536|t|A novel approach
augmentation techniques,create,we
new time series,create,we
"the characteristics of the original series ,",take,It has been noted
account,take,It has been noted
enough samples,generate,we
enough samples,generate,"the original series ,"
deep learning models,fit,enough samples
coronavirus disease 2019 ( COVID-19 ),prevent,the effective way
the general population,increase,the use of telehealth interventions
mHealth interventions,look,It has been noted
high acceptability rates over the short run,find,Studies
a general lack of data on term use,be,there
the heterogeneity,identify,The occupational health literature
characteristics,identify,The occupational health literature
either failure of (,define,Local recurrence
either failure of (,define,progression
size,decrease,tumor
size,decrease,either failure of (
PET,follow,relapse of after
Disease 	,downsize,852 tumor
Canadian blood donors,collect,plasma
the spring of,collect,plasma
a justification for,use,This preliminary data
the use of first plasma products,limit,a justification for
upcoming clinical trials,limit,a justification for
NCBI.nlm.nih.gov/gene,retrieve,Hu-1 genes
any pair match with human ncRNA genes,interrogate,the Ensembl.org library
34662705 34662705|t|Sequence complementarity between,screen,34662705 Species 545 550 ncRNA Gene 	 complementarity : are ? ncRNAs
functional activity,screen,34662705 Species 545 550 ncRNA Gene 	 complementarity : are ? ncRNAs
bioinformatic analysis,use,functional activity
GWAS databases,search,associations between diseases
34662705 867 human Species 	 complementarity,find,A total of 252 matches
the nucleotide sequence of CoV-2 genes,find,A total of
"ncRNA regulatory sites ,",fall,cases matches
"cancer , pathways",involve,whose adjacent genes
neuropsychiatric disorders,associate,several polymorphic variants of genes
34662705 1665 Species 34662705 Species 34662705 1736 1741 ncRNA Gene 	 complementarity :,show,This pivotal in silico study
Crick nucleotide complementarity,have,CoV-2 genes
ncRNA sequences,have,CoV-2 genes
the development of in the long term,result,this
the globe,spread,the coronavirus disease ( COVID-19 )
all societies,affect,the globe
most age groups,affect,the globe
general populations,approve,several vaccines
general populations,administer,several vaccines
general populations,administer,several vaccines
comparative data,present,We
34662884 1892 1897 human Species 	,present,We
the general panic,lose,It has been noted
the general panic,lose,a perspective
our spectrum of afflictions,disappear,a disease is
it,remove,the glass
COVID-19,include,"a single general hospital ,"
patients Species 	 MESH,admit,"A prospective observational study from a single general hospital ,"
ICU,admit,A prospective observational study from
March,admit,A prospective observational study from
flow nasal oxygen ( HFNO,compare,the extent of residual parenchymal changes on tomography ( CT ) scan
invasive ventilation,compare,the extent of
an overview of the latest systematic reviews,conduct,We
trials with adult patients with chronic diseases,include,It has been noted
34665645 1683 1688 Disease MESH : antibodies,need,we
quality of life,affect,RPM
34668145 antibodies in post - COVID-19 patients,antibodie,the generation of antibodies ( NAbs )
the S1 subunit ( IgG ) of,antibodie,the generation of
Disease MESH : Efforts,depend,Humoral immunity to CoV-2 infection
"the severity of the disease , gender",depend,Humoral immunity to
use,approve,more vaccines
Bhutan,include,many countries
their population,vaccinate,many countries
the CoV2 disease,vaccinate,many countries
"the recent literature on ,",encompass,I
"the advances in ,",include,"the recent literature on ,"
"the use of ex - vivo lung perfusion , management",include,"the advances in ,"
those,include,"recipient management ,"
coronavirus disease 2019,infect,who
the use of membrane oxygenation,include,"the perioperative management ,"
vaccines,covid,The access
millions of human beings,covid,The access
a series of questions from the members of ),prompt,The access
34672185 Disease MESH : C000657245 :,prompt,The access
34672185 1826 Species 2697049 34672185 Species 34672377|t|Long COVID fog,avoid,CoV-2 screening tests
outpatient care,avoid,CoV-2 screening tests
hospitalization,!require,It has been noted
the frequency of,investigate,We
34672377 81 84 fog Gene 	 Species : MESH,investigate,We
a large cohort of patients with disease-2019 ( COVID-19 ),investigate,We
the illness,survive,who
the Risk of,predict,A Risk Assessment Score
laboratory radiological data,diagnose,"The presence of in ,"
potential factors of pulmonary sequelae,provide,"The presence of in ,"
34673642 178 202 coronavirus disease MESH : MESH : C000657245,provide,"The presence of in ,"
34674005 Disease MESH : C000657245,associate,The presence of ) at the onset
a severe disease,associate,The presence of ) at
valuable insights into patients perceptions in clinical trials,provide,a measure of the impact of
34676578 Disease MESH : MESH,provide,a measure of
2 siblings,identify,We
COVID orchitis,identify,We
susceptibility,associate,genetic mutations
Identifies,sequence,34678309|t|Whole Exome
a Rare Mutation in,sequence,34678309|t|Whole Exome
a Possible Cause of in,sequence,34678309|t|Whole Exome
the hypothesis,generate,This pilot study
34678309 	 Species,generate,This pilot study
MESH : D009920,generate,This pilot study
34678309 732 736 ACE2 Gene 	 exposure,generate,This pilot study
COVID orchitis,develop,who
variants,have,men
altered levels,have,men
ACE2,circulate,the hypothesis
their risk,increase,It has been noted
COVID-19 severity,exacerbate,WHO guidelines
mortality,exacerbate,WHO guidelines
the term exposure to air pollution,cause,the risk
COVID-19 severity,exacerbate,D007239 term exposure to above
mortality,exacerbate,D007239 term exposure to above
COVID-19 severity,exacerbate,WHO guidelines
mortality,exacerbate,WHO guidelines
an increase of increase,cause,an increase of in PM10 concentration
COVID-19,suffer,patients
a severe disease,suffer,patients
Chi - tests,use,Variables
a generalized mixed model,use,Variables
anorectal malformation ( % ) disease,diagnose,the following
34686843 168 Disease MESH :,focus,the medical communities
D003643 34686843 192 216 coronavirus disease MESH : MESH,focus,the medical communities
34687321|t|The relevance of in,focus,the medical communities
the coronavirus disease 2019,cause,the acute morbidity
all possible efforts,concentrate,The research community
the pathogenesis of this complex disease,understand,all possible efforts
recommendations for nutritional support in COVID-19 patients,emphasize,several groups
evidence from on the role of in chronic non - communicable diseases,review,we
34687321 824 Chemical MESH : D008274 :,review,we
recent reports of alterations of in COVID-19 patients,focus,we
deep learning model,use,9606 34687416|t|Risk assessment of
J&K in,use,9606 34687416|t|Risk assessment of
deep learning model,use,D003643 34687416|t|Risk assessment of
J&K in,use,D003643 34687416|t|Risk assessment of
relation to the spread of disease,show,The disparity in at
deep learning model,use,34687416|t|Risk assessment of
J&K in,use,34687416|t|Risk assessment of
syndrome coronavirus 2 ( CoV-2 ),cause,( COVID-19 pandemic
COVID-19,post,onset hematological complications
a multisystemic disease,consider,Coronavirus disease 19 ( COVID-19 )
"that work in a general ward ,",show,regression analysis
"non line departments , support",work,"attention to ,"
factors of,influence,"attention to ,"
factors of,influence,anxiety symptoms
robust humoral cellimmune response against CoV-2 infection,drive,34687781 1343 Disease MESH : D001007 34687781 MESH basedRBD
robust humoral cellimmune response against,drive,vaccine
"the continued development of ,",require,The coronavirus disease 2019
isolated countries,require,The coronavirus disease 2019
"the continued development of ,",require,( COVID-19 pandemic
isolated countries,require,( COVID-19 pandemic
generative deep neural networks,use,34688160|t|Predicting drug candidates against
generative deep neural networks,use,34688160|t|Predicting drug candidates against
a novel discovery method,propose,we
long term memory model,leverage,It has been noted
novel molecules adept,generate,a novel discovery method
novel Coronavirus protease,bind,novel molecules adept
generative deep neural networks,use,34688160 novel Coronavirus Species 	 candidates
novel like molecules are,generate,the model
generative deep neural networks,use,34688160|t|Predicting novel drug candidates against
free energy of,dock,80 % of molecules
generative deep neural networks,use,34688160|t|Predicting novel drug candidates against
the highest affinity with a docking score of,have,The top candidate
drugs,compare,a docking score of
generative deep neural networks,use,C000606551 drug candidates against
34688160 1688 1696 Disease MESH : Experience,indicate,The low energy
potential drug candidates for,explore,the molecules
some negative impacts of virtual interviewing on their recruitment efforts,perceive,Residency program directors
in interviews for,replace,virtual interviews
applicants,assess,in interviews for
the impact of the coronavirus disease ( COVID-19 ),develop,A item survey
the impact of,investigate,A item survey
more guidance,desire,respondents Review
the early phase of,desire,respondents Review
COVID-19,predict,34690432|t|Time series
deep learning,base,34690432|t|Time series
series variables,regard,Some
primary factors,regard,Some
the onset of infectious diseases like influenza,affect,which
paediatric inflammatory multisystem syndrome,include,"the post - infectious manifestations ,"
SARS - CoV-2 TS ),associate,paediatric inflammatory multisystem syndrome
' long COVID ' in children,associate,paediatric inflammatory multisystem syndrome
"3,962 men",identify,We
34694910 9606 34694910|t|Association between Outcomes,identify,We
intermediate / risk disease,identify,We
the SEARCH cohort,identify,We
radical prostatectomy ( RP ),treat,the SEARCH cohort
1988,treat,the SEARCH cohort
significant association between p=0.5 ),!find,we
metastases (,develop,RP
major spreaders of COVID-19 disease,consider,Young adults
concerns of term adverse health effects,be,there
young adults,exist,The impact of COVID-19 disease
young adults,exist,to extent immunity
"cellular senescence , dysfunction",include,aging (
"nutrient sensing , instability",deregulate,The pillars of aging (
diseases ( Hypothesis,contribute,It has been noted
defenses against viral infection,interfere,"intercellular communication ,"
defenses against,interfere,epigenetic alterations )
aging,associate,It has been noted
an exaggerated response to an COVID-19 infection,generate,Heightening of the grade inflammation
healthspan chronic diseases,prolong,It has been noted
multimorbidity,prolong,It has been noted
fundamental aging processes,link,senolytics
fundamental aging processes,link,other geroscience interventions
Hauler Syndrome,alleviate,"preventing ,"
person,contaminate,"The COVID-19 virus , like ,"
person,contaminate,"The COVID-19 virus , like ,"
inhalation,contaminate,"The COVID-19 virus , like ,"
crucial role of family members in term care,highlight,34698584|t|Visit restrictions
tremendous public support,generate,Public exposure of in term care
It has been noted,generate,Public exposure of in
34698808|t|Effectiveness of against : study,generate,Public exposure of in
improvements,generate,Public exposure of in
a extent focus on staffing,generate,Public exposure of in
the term health,influence,this impact
Disease MESH :,influence,this impact
security,influence,this impact
CoV-2 infection,cause,"Coronavirus disease 2019 ( COVID-19 ) ,"
nursing homes,spread,"Coronavirus disease 2019 ( COVID-19 ) ,"
an epidemiological surveillance program,generate,The data
34702684|t|Epidemiology of,allow,The data
health personnel in term care centers in,allow,The data
bidirectional LSTM,base,34703079|t|Digital twins
the COVID-19,model,34703079|t|Digital twins
pandemic,model,34703079|t|Digital twins
the globe,spread,The outbreak of ( COVID-19 )
bidirectional LSTM,base,D003643 9606 34703079|t|Digital twins
the COVID-19,model,D003643 9606 34703079|t|Digital twins
pandemic,model,D003643 9606 34703079|t|Digital twins
an urgent need,be,there
the dynamics of epidemiological models,study,an urgent need
a better understanding of,gain,an urgent need
intensive care unit,treat,The symptoms in ( COVID-19
patient perception of their COVID-19 disease,assess,we
34704256 259 patient Species 	 9606 34704256,assess,we
Disease MESH :,assess,we
34704256|t|Intensive patients perception of their illness,assess,we
the need for,illustrate,It
34704256 	 Species : Species,illustrate,It
patients for symptoms,screen,the need for
COVID-19 disease,screen,the need for
ICU care,screen,the need for
organizations,manage,the unprecedented nature of ( COVID-19 )
"the severity , manifestations",manage,the unprecedented nature of ( COVID-19 )
healthcare professionals,manage,the unprecedented nature of ( COVID-19 )
profound effects on population health,have,Coronavirus disease 2019 ( COVID-19 )
date,have,Coronavirus disease 2019 ( COVID-19 )
China,confirm,the first case of coronavirus disease ( COVID-19 )
the spread of coronavirus disease 2019,prevent,distancing measures
changes in psychosocial factors,cause,distancing measures
changes in psychosocial factors,clarify,This study
older adults,clarify,This study
changes in,clarify,This study
older adults,clarify,This study
34708470 1554 1578 coronavirus disease MESH : 34708470|t|Changes,occur,changes in psychosocial factors
million persons,cause,Coronavirus disease 2019 ( COVID-19 )
million deaths,cause,Coronavirus disease 2019 ( COVID-19 )
the COVID-19,follow,Clinical Considerations
the COVID-19,follow,Clinical Considerations
Pandemic,follow,Clinical Considerations
safe exercise programming within stroke rehabilitation for COVID-19,promote,this framework
future infectious disease outbreaks .. MESH,promote,this framework
"a severe respiratory disease in ,",associate,Severe respiratory syndrome coronavirus 2
continents,spread,It has been noted
"retinal vascular changes , inflammation",reveal,34714382|t|Histopathological assessments
presence of hemorrhages,show,Histology of the retina
34714382 930 Disease MESH : MESH :,show,Histology of
34715312|t|Estimating total morbidity burden of : importance,show,Histology of
several of the donors,show,Histology of
scarce resources,allocate,"Calculations of ,"
scarce resources,allocate,"Calculations of ,"
only mortality,consider,"Calculations of ,"
"incidence , factors",investigate,Future research
scarce resources,allocate,decisionmakers
34715312 1362 Disease MESH : Surgery :,allocate,decisionmakers
the Pandemic,learn,We
Iran,learn,We
34716898 171 195 coronavirus disease MESH,know,Little
the symptoms of on patients with morbid obesity,know,Little
property rights ( IPRs ),waive,C000657245 Proposals
coronavirus 2019,waive,C000657245 Proposals
"considerable support among politicians ,",gain,developments
34718204 133 149 coronavirus Species,gain,developments
"President Biden , academics , media",include,"politicians ,"
Coronavirus disease MESH : C000657245,continue,Coronavirus disease 2019 ( COVID-19 )
mistrust,include,Personal barriers to diagnostic testing
fear,include,Personal barriers to
"others , loss",infect,fear of
"others , loss",infect,fear of
"others , loss",infect,fear of
other diseases,uncover,fear of
personal information,mishandle,fear of
disease severity,reduce,habitual exercise in
disease severity,reduce,habitual exercise in
disease severity,reduce,habitual exercise in
34719732 727 Disease MESH :,indicate,evidence
infection,!eliminate,vaccines
disease severity,reduce,habitual exercise in
substantial evidence,be,There
34719732 1025 1043 CoV-2 Disease MESH : C000657245,be,There
D003643 1108 1130 cardiovascular Disease MESH :,be,There
34719732 1132 1139 Disease MESH : D009765,be,There
D008659 34719732|t|Metabolic,be,There
inflammatory health in,be,There
the potential role for habitual exercise in,be,There
"comorbidities as cardiovascular disease , obesity",link,CoV-2 disease severity
comorbidities as,link,death
disease severity,reduce,habitual exercise in
the potential term strategy of habitual exercise,discuss,we
34719732 1328 Disease MESH : D007249,discuss,we
34720211|t|Designing resilient voting systems,discuss,we
its relationship to as a protective mechanism against CoV-2 disease severity,discuss,we
the COVID-19,relate,emergency orders
venous thrombosis,develop,who
COVID-19,contract,who
"thromboprophylaxis , optimal antithrombotic therapy during active infection",contract,who
risk stratification,contract,who
discharge,follow,"thromboprophylaxis , optimal antithrombotic therapy during"
recovery,follow,"thromboprophylaxis , optimal antithrombotic therapy during"
the rates of unexpected birth experiences,examine,This study
the first coronavirus disease-2019 ( COVID-19 lockdown,calculate,A model
pre - existing formulae,integrate,the preliminary data
the natural course of in the long term,base,pre - existing formulae
cell therapy for,associate,negative aspects
many years,study,Mesenchymal stem cells (
its potential role in diseases with complex pathogenesis,study,Mesenchymal stem cells (
many years,study,MSCs ) therapy
its potential role in,study,MSCs ) therapy
cell therapy for,associate,negative aspects
"positive aspects , aspects",review,an attempt
MSCs therapy,influence,challenges
the management of COVID-19 disease,influence,challenges
34728408 patients Species 	 34728408,remain,It
34729364 155 Disease MESH : C000657245,spread,The novel coronavirus disease
the world,spread,The novel coronavirus disease
a short span of time,spread,The novel coronavirus disease
34730095 769 772 cow Species 	 experience,witness,Several influential religious leaders
coronavirus,include,"most diseases ,"
the world,spread,BACKGROUND COVID-19 outbreak
"disease , identification",implicate,biological processes
summary of a number of from a project,describe,Validation Comment
COVID-19 disease,aim,a project
COVID-19,vaccinate,children
acute COVID-19,pose,The low risk
children,pose,The low risk
"a novel hybrid model ,",propose,this study
a memory ( LSTM artificial recurrent neural network with dynamic behavioral models,combine,which
the Spread of COVID-19,forecast,34735351 153 177 coronavirus disease MESH : MESH : C000657245 : D007239 .
the prediction power,improve,each country
recent AstraZeneca COVID-19 vaccination,follow,34735684|t|Acute encephalomyelitis ( ADEM )
a novel type of coronavirus,cause,which
COVID-19 disease,call,the famous type of viral infection
high predictive value for COVID-19 infection on repatriation flights to,demonstrate,34735954|t|Wastewater surveillance
Meijenfeldt et al,comment,34735954 921 943 coronavirus disease MESH : C000657245 : C000657245 endotheliopathy
.
,comment,34735954 921 943 coronavirus disease MESH : C000657245 : C000657245 endotheliopathy
Persistent endotheliopathy in the pathogenesis of,comment,34735954 921 943 coronavirus disease MESH : C000657245 : C000657245 endotheliopathy
the size,design,PPE ( Equipment )
shape,design,PPE ( Equipment )
COVID-19,know,The CoV-2 disease (
a global health emergency,become,The CoV-2 disease (
C000657245 term pollution exposure,become,The CoV-2 disease (
COVID-19 infection in,become,The CoV-2 disease (
the relationship between term exposure to,investigate,A generalized additive model
a unique survey,use,The study
GeoPoll,dataset,a unique survey
April 2020,collect,a unique survey
significant effect of concern about,find,We
change in the package size of food,find,We
disease 2019 ( COVID-19 ),lead,The severe respiratory syndrome coronavirus 2
neurological disorders,improve,the process of
COVID-19,cause,neurological disorders
a problem,revisit,Racial health disparities in during :
the associations of infection,examine,Objective :
the general population,examine,Objective :
the COVID-19 pandemic,examine,Objective :
""" long COVID",attribute,another disease
that target terminal domain ( NTD ) of,reveal,mutagenesis of
34749200 881 887 34749238|t|Prosocial development in adolescence,reveal,mutagenesis of
"term effects on ,",have,COVID-19 pandemic
"term effects on ,",have,COVID-19 pandemic
"risks , factors",describe,we
prosocial acts of kindness,engage,opportunities for
people,infect,the COVID-19
the pandemic spread,limit,order
a framework,entail,this paper
34754141 235 Disease MESH : C000657245 :,entail,this paper
"the machine learning ( ML ) , cloud",integrate,a framework
a novel COVID-19 disease monitoring,propose,a framework
prognosis system,propose,a framework
the pathologic potential of ),highlight,Numerous reports of neuropsychiatric symptoms
potential catalysts for onset neuropsychiatric symptoms in COVID-19 patients,consider,coronavirus disease 2019
potential catalysts for,consider,"( COVID-19 ) treatments , themselves ,"
a Injectable Hydrogel Scaffold,use,34755347 312 336 coronavirus disease MESH : C000657245 C000657245 Species
viral entry,mediate,It has been noted
host cells,mediate,It has been noted
"center ( GC ) reactions ,",induce,The hydrogel scaffold
generation 1 cell responses,correlate,"center ( GC ) reactions ,"
adverse outcomes in transplantation communities,associate,Coronavirus disease 2019 ( COVID-19 )
an effect on the incidence of infectious diseases,have,COVID-19 pandemic
Disease MESH : C000657245,have,COVID-19 pandemic
a greater decrease than Role,experience,Antibiotic prescriptions from family physicians
the systematic inflammatory response in ill patients,boost,Background : disease
multiple complications,lead,a systemic hyperinflammatory state
order,monitor,These findings
COVID-19 response trend in older adults,monitor,These findings
future prevention strategies in this vulnerable population,optimize,order
the health infrastructure,impact,It has been noted
resources,manage,a global health crisis
this infection,manage,a global health crisis
this infection,manage,a global health crisis
COVID-19 infection,avoid,a lack of appropriate medical care
emergencies,!rule,hysteroscopy
an enigmatic enzyme,metabolize,Acylcholines
"a class of cholinesterases ,",metabolize,Acylcholines
acetylcholinesterase ( regulator ),include,a class of
a specific regulator of acetylcholine levels,include,a class of
butyrylcholinesterase ( BChE,include,a class of
genetic knockout models,!resolve,whose function
a link between,provide,Acylcholines
"inflammatory disease , as the "" cytokine storm """,modulate,imbalances between acylcholines
"inflammatory disease , as",modulate,BChE
severe COVID-19,identify,"the "" cytokine storm """
a minute walk test in participants after infection with,delay,recovery
excellent divergent validity from generalized anxiety,show,it
34761473 1106 Disease MESH : D001007 : C000657245,show,it
COVID-19 Psychometric properties in a general community sample of,show,it
"COVID-19 ,",concern,it
more variance in functional impairment,explain,the Persian C19 - ASS
someone close,lose,consciousness
34761473 1576 1583 34761473 1658 Disease MESH : D005597 D001007 D001007 : D000275,find,it
the relationship between the personality traits ( except openness,mediate,C19 - ASS
3 Willebrand disease (,type,haemophilia A (
Disease MESH,type,haemophilia A (
predictors : changes over time,type,haemophilia A (
factor deficiencies,diagnose,the remainder
refined data,use,predictors : changes over
the need for interventions,highlight,COVID-19 pandemic
MESH changes over time,highlight,COVID-19 pandemic
substantial heterogeneity within cities,give,interventions
refined data,use,MESH changes over
"analyses of disease patterns , identification",allow,data
long COVID syndrome : study,associate,34763058|t|Female gender
"the association between ,",explore,We
Disease MESH :,explore,We
persistence of physical symptoms,define,"the association between ,"
4 weeks,define,"the association between ,"
recovery from COVID-19 disease,define,"the association between ,"
long COVID syndrome : study,associate,34763058|t|Female gender
a higher risk of long COVID,associate,"active smokers , % )"
severity of disease,find,association
continuous positive airway pressure ( ventilation : MESH,find,association
long COVID syndrome : study,associate,34763058|t|Female gender
a higher risk of,associate,It has been noted
a higher risk of,associate,Factors
""" COVID "" syndrome",develop,a higher risk of
support,provide,were their dental practice
the pandemic ( 95 %,provide,were their dental practice
challenges,be,there
term impacts,be,there
the past few decades,evolve,term medical missions ( STMMs )
routine primary care for acute conditions,include,non - emergent care
the education,affect,the pandemic
work,affect,the pandemic
fewer changes than,show,Time in work in
some reductions in the probability of,show,Time in
studies,dedicate,time
the home for older youth,work,the probability of
the household,work,hours
mobility,base,34764603|t|Data covid-19 spread prediction
mandate information,base,34764603|t|Data covid-19 spread prediction
the history of mankind,face,the largest diseases
mobility,base,34764603|t|Data covid-19 spread prediction
mandate information,base,34764603|t|Data covid-19 spread prediction
the literature,use,The epidemiological models
considerable drawbacks in the assumption of homogeneous mixing among the populace,have,The epidemiological models
mobility,base,34764603|t|Data covid-19 spread prediction
mandate information,base,34764603|t|Data covid-19 spread prediction
the spread,predict,pre - equations
mobility,base,34764603|t|Data covid-19 spread prediction
mandate information,base,34764603|t|Data covid-19 spread prediction
results,generate,We
34764603 2036 2042 Turkey Species 	 neuropathy,generate,We
severe coronavirus disease 2019 ( COVID-19 ),have,Two patients with densities
mild COVID-19 symptoms,experience,the remainder
"MESH C000657245 34766646|t|Analysis of term antibody response in COVID-19 patients by symptoms grade , gender",experience,the remainder
"43 patients ( diseases ) , women",collect,Blood samples
"15 , 30 45 ,",collect,Blood samples
days PSO after COVID-19 infection,collect,Blood samples
effect on antibody titers,!have,"BMI , disease ,"
34766646 1673 Disease MESH :,have,"BMI , disease ,"
effect on,!have,concomitant chronic disease
34766646 1673 Disease MESH :,have,concomitant chronic disease
effect on,!have,medications
34766646 1673 Disease MESH :,have,medications
emergency pandemic response,associate,digital health risks
"review ,",scope,"Problem identification ,"
directions toward evaluation,scope,"Problem identification ,"
digital health applications in identification,accelerate,COVID-19 pandemic
34768031 Disease MESH : C000657245,accelerate,COVID-19 pandemic
emergency pandemic response,associate,digital health risks
"review ,",scope,"Problem identification ,"
directions toward evaluation,scope,"Problem identification ,"
the pandemic,pose,digital health risks
potential directions for generation evaluation development,discuss,this paper
ELISA technique,use,antibody titers
